year,party,intervention,type,count
1945,Independent Liberal,338,environment,0
1951,Independent,368,environment,0
1937,United Farmers of Ontario-Labour,51,environment,0
1936,Social Credit,839,environment,4
1951,Liberal Progressive,68,environment,0
1957,Liberal Progressive,55,environment,0
1949,Co-operative Commonwealth Federation (C.C.F.),5007,environment,10
1957,Independent,137,environment,1
1943,New Democracy,25,environment,0
1997,Bloc Québécois,3112,environment,118
1951,Co-operative Commonwealth Federation (C.C.F.),5295,environment,6
1957,Co-operative Commonwealth Federation (C.C.F.),6123,environment,6
1949,Liberal Progressive,16,environment,0
1969,Ralliement Créditiste,2139,environment,13
1949,Independent,158,environment,0
1993,Reform,22,environment,0
1958,Social Credit,409,environment,1
1911,Liberal-Conservative,329,environment,0
1926,Independent Conservative,139,environment,0
1967,New Democratic Party,5583,environment,10
1913,Labour,15,environment,0
1966,Independent Progressive Conservative,352,environment,3
1910,Independent Liberal,9,environment,0
1972,Progressive Conservative,6878,environment,151
2014,Bloc Québécois,136,environment,12
1995,Liberal,11845,environment,676
2015,Bloc Québécois,91,environment,6
2006,Independent,20,environment,0
1919,United Farmers,1,environment,0
1945,Independent Progressive Conservative,9,environment,0
1920,Progressive,314,environment,0
1905,Liberal-Conservative,1660,environment,0
1946,Independent Progressive Conservative,15,environment,0
1941,National Government,7462,environment,1
2012,Green,700,environment,80
1904,Conservative (1867-1942),14147,environment,0
1967,Independent,866,environment,1
1920,United Farmers of Ontario-Labour,15,environment,0
1947,Social Credit,2102,environment,2
1972,Liberal,9171,environment,173
1995,Progressive Conservative,127,environment,6
1962,Independent Liberal,3,environment,0
1908,Liberal-Conservative,858,environment,0
2009,Independent,24,environment,3
1919,Conservative (1867-1942),266,environment,0
1946,Progressive Conservative,10692,climate change,0
1948,Liberal,16392,climate change,0
1973,Progressive Conservative,19871,climate change,0
1975,Progressive Conservative,16532,climate change,1
1975,Liberal,23973,climate change,1
1976,Progressive Conservative,14901,climate change,0
1976,Liberal,20417,climate change,0
1976,Social Credit,1102,climate change,0
1976,New Democratic Party,4322,climate change,0
1977,Progressive Conservative,16764,climate change,0
1977,Social Credit,991,climate change,0
1978,Progressive Conservative,13109,climate change,1
1980,Progressive Conservative,10571,climate change,1
1981,Progressive Conservative,15279,climate change,0
1982,Liberal,20631,climate change,0
1985,Progressive Conservative,25634,climate change,1
1988,Liberal,8938,climate change,0
1989,New Democratic Party,4484,climate change,3
1990,New Democratic Party,6022,climate change,6
1991,Progressive Conservative,13572,climate change,7
1994,Reform,5958,climate change,1
1997,Liberal,8061,climate change,69
1997,Reform,4463,climate change,9
1997,New Democratic Party,1166,climate change,12
1999,Reform,6223,climate change,2
2000,Canadian Alliance,75,climate change,0
2000,New Democratic Party,1897,climate change,4
2001,New Democratic Party,2157,climate change,13
2001,Liberal,11369,climate change,66
2001,Canadian Alliance,6220,climate change,15
2001,Progressive Conservative,1827,climate change,8
2002,Bloc Québécois,3337,climate change,47
2002,Canadian Alliance,6377,climate change,96
2002,Liberal,11121,climate change,190
2002,New Democratic Party,1889,climate change,27
2002,Progressive Conservative,1748,climate change,22
2003,Liberal,10019,climate change,68
2003,Bloc Québécois,2916,climate change,6
2004,Liberal,9444,climate change,57
2004,Bloc Québécois,2842,climate change,11
2005,Liberal,10752,climate change,152
2005,Bloc Québécois,3392,climate change,19
2005,Conservative,8071,climate change,30
2005,New Democratic Party,2195,climate change,35
2006,Liberal,7524,climate change,198
2006,Bloc Québécois,3093,climate change,69
2006,Conservative,10677,climate change,114
2006,New Democratic Party,3921,climate change,124
2007,Liberal,8717,climate change,267
2007,Bloc Québécois,3502,climate change,100
2007,New Democratic Party,4841,climate change,147
2007,Conservative,12362,climate change,225
2008,New Democratic Party,3497,climate change,105
2008,Liberal,6953,climate change,105
2008,Bloc Québécois,2780,climate change,28
2008,Conservative,10054,climate change,77
2009,New Democratic Party,6650,climate change,145
2009,Liberal,9156,climate change,169
2009,Bloc Québécois,4434,climate change,119
2009,Conservative,13468,climate change,133
2010,New Democratic Party,6075,climate change,134
2010,Liberal,8176,climate change,140
2010,Conservative,12269,climate change,89
2010,Bloc Québécois,3872,climate change,99
2011,Conservative,12737,climate change,65
2011,New Democratic Party,9010,climate change,163
2011,Liberal,5257,climate change,96
2012,Liberal,5344,climate change,70
2013,Conservative,14842,climate change,83
2013,New Democratic Party,11652,climate change,201
2014,New Democratic Party,13401,climate change,215
2014,Liberal,4914,climate change,55
2014,Conservative,16871,climate change,85
2015,New Democratic Party,7224,climate change,140
2016,Liberal,9467,climate change,206
2016,Conservative,6230,climate change,69
1991,Liberal,7334,climate change,2
1942,National Government,8689,climate change,0
1925,United Farmers of Ontario,10,climate change,0
1984,New Democratic Party,5591,climate change,1
1929,United Farmers of Ontario,3,climate change,0
1928,United Farmers of Ontario,1,climate change,0
1937,Conservative (1867-1942),6105,climate change,0
1992,Liberal,7137,climate change,12
1989,Progressive Conservative,13450,climate change,1
1945,Bloc populaire canadien,28,climate change,0
1988,Independent,14,climate change,0
2014,Green,614,climate change,19
1939,Liberal,16036,climate change,0
1929,Conservative (1867-1942),10222,climate change,0
1928,Conservative (1867-1942),10994,climate change,0
1911,Independent Conservative,137,climate change,0
1967,Social Credit,803,climate change,0
1946,Bloc populaire canadien,59,climate change,0
1937,Co-operative Commonwealth Federation (C.C.F.),1642,climate change,0
1924,Liberal,16197,climate change,0
1947,Liberal Progressive,2,climate change,0
1959,Liberal Labour,830,climate change,0
1947,Independent,247,climate change,0
1925,Conservative (1867-1942),12052,climate change,0
1988,New Democratic Party,8998,climate change,3
1992,Progressive Conservative,13930,climate change,19
1989,Liberal,7687,climate change,0
1930,Independent Liberal,2,climate change,0
2015,Green,386,climate change,20
2012,Bloc Québécois,302,climate change,0
1936,Conservative (1867-1942),9485,climate change,0
1943,Bloc populaire canadien,50,climate change,0
1908,Independent Conservative,81,climate change,0
1963,Liberal Labour,79,climate change,0
1936,Co-operative Commonwealth Federation (C.C.F.),2169,climate change,0
1961,New Democratic Party,480,climate change,0
1920,Independent,40,climate change,0
1949,Social Credit,1382,climate change,0
1903,Independent Labour,141,climate change,0
1958,Independent,9,climate change,0
1905,Independent Conservative,546,climate change,0
2003,Progressive Conservative,1541,climate change,1
1984,Independent,80,climate change,0
1901,Conservative (1867-1942),8850,climate change,0
2004,Independent,22,climate change,0
1978,Independent,166,climate change,0
1911,Independent Liberal,10,climate change,0
1915,Liberal,8802,climate change,0
1971,Liberal Labour,47,climate change,0
1945,Labour Progressive,70,climate change,0
1921,Liberal,1187,climate change,0
1936,Liberal Progressive,114,climate change,0
1920,United Farmers,188,climate change,0
1951,Social Credit,1982,climate change,0
1936,Independent,270,climate change,0
1919,Progressive,194,climate change,0
1957,Social Credit,1964,climate change,0
1958,Co-operative Commonwealth Federation (C.C.F.),4678,climate change,0
1952,Independent Liberal,22,climate change,0
2007,Independent,79,climate change,1
1968,Liberal Labour,9,climate change,0
1965,Liberal Labour,27,climate change,0
2016,Green Party,213,climate change,7
1920,Conservative (1867-1942),1374,climate change,0
1910,Liberal-Conservative,758,climate change,0
2015,Independent,256,climate change,0
1993,Progressive Conservative,8772,climate change,14
1923,Independent Progressive,336,climate change,0
1912,Liberal,4892,climate change,0
1960,New Party,28,climate change,0
1956,Independent Liberal,4,climate change,0
1944,Liberal,20404,climate change,0
1901,Independent,358,climate change,0
1964,Progressive Conservative,19874,climate change,0
1969,Independent,4766,climate change,0
1936,Reconstruction,419,climate change,0
1947,Co-operative Commonwealth Federation (C.C.F.),6101,climate change,0
1993,Liberal,4577,climate change,3
1955,Independent Liberal,6,climate change,0
1964,Liberal,24849,climate change,0
1945,Independent C.C.F.,37,climate change,0
2014,Independent,179,climate change,0
1916,Liberal-Conservative,365,climate change,0
1969,New Democratic Party,6830,climate change,0
1953,Liberal Labour,89,climate change,0
2002,Independent,5,climate change,0
1944,Progressive Conservative,2102,climate change,0
1946,Independent C.C.F.,93,climate change,0
1937,Independent,196,climate change,0
1954,Liberal Labour,410,climate change,0
1937,Liberal Progressive,162,climate change,0
1929,Independent,296,climate change,0
1928,Independent,235,climate change,0
1929,Liberal Progressive,836,climate change,0
1928,Liberal Progressive,517,climate change,0
1930,Independent Conservative,2,climate change,0
1978,New Democratic Party,3761,climate change,0
2004,New Democratic Party,1872,climate change,12
1929,Labour,1247,climate change,0
1928,Labour,958,climate change,0
1997,Independent,66,climate change,0
1921,Laurier Liberal,9363,climate change,0
1902,Independent Labour,54,climate change,0
1909,Independent Conservative,109,climate change,0
1995,Reform,6324,climate change,0
1979,Independent Liberal,3,climate change,0
1937,Reconstruction,159,climate change,0
1967,Ralliement Créditiste,1094,climate change,0
1950,Independent Liberal,6,climate change,0
1925,Labour,989,climate change,0
1908,Independent Liberal,23,climate change,0
1961,Co-operative Commonwealth Federation (C.C.F.),5073,climate change,0
1923,Independent Conservative,199,climate change,0
1925,Independent,65,climate change,0
1996,Independent,30,climate change,0
1956,Liberal,19945,climate change,0
1944,Independent Liberal,120,climate change,0
1931,Liberal,11996,climate change,0
1940,Social Credit,927,climate change,0
1919,Unionist (Liberal),1953,climate change,0
1985,Liberal,11875,climate change,0
1932,Progressive Conservative,16,climate change,0
1963,New Democratic Party,4496,climate change,0
1961,Liberal Labour,1470,climate change,0
1991,Independent Conservative,91,climate change,0
1955,Progressive Conservative,9927,climate change,0
1942,Co-operative Commonwealth Federation (C.C.F.),2544,climate change,0
1999,Bloc Québécois,3332,climate change,4
1942,Conservative (1867-1942),883,climate change,0
1902,Conservative (1867-1942),7519,climate change,0
1979,Progressive Conservative,8493,climate change,0
1960,Liberal,17853,climate change,0
1952,Liberal,13569,climate change,1
1950,Progressive Conservative,9279,climate change,0
2001,Bloc Québécois,3397,climate change,24
1939,Independent Conservative,20,climate change,0
1911,Liberal,11072,climate change,0
1924,Independent Conservative,242,climate change,0
1977,New Democratic Party,5535,climate change,0
1953,Co-operative Commonwealth Federation (C.C.F.),3388,climate change,0
1992,Independent Conservative,106,climate change,0
1954,Co-operative Commonwealth Federation (C.C.F.),5265,climate change,0
1960,Progressive Conservative,27096,climate change,1
1979,Liberal,10434,climate change,0
1940,United Farmers of Ontario-Labour,5,climate change,0
